ready 0, sample15:8  65, state 1, idle 1, addr 308, en 0, wr_sample  63, index 0
ready 1, sample15:8  66, state 1, idle 1, addr 308, en 0, wr_sample  62, index 0
ready 1, sample15:8  66, state 1, idle 1, addr 309, en 0, wr_sample  62, index 0
ready 0, sample15:8  66, state 1, idle 1, addr 309, en 0, wr_sample  62, index 0
ready 0, sample15:8  66, state 1, idle 1, addr 309, en 1, wr_sample  62, index 0
ready 0, sample15:8  66, state 1, idle 1, addr 309, en 0, wr_sample  62, index 0
ready 1, sample15:8  67, state 1, idle 1, addr 309, en 0, wr_sample  61, index 0
ready 1, sample15:8  67, state 1, idle 1, addr 310, en 0, wr_sample  61, index 0
ready 0, sample15:8  67, state 1, idle 1, addr 310, en 0, wr_sample  61, index 0
ready 0, sample15:8  67, state 1, idle 1, addr 310, en 1, wr_sample  61, index 0
ready 0, sample15:8  67, state 1, idle 1, addr 310, en 0, wr_sample  61, index 0
ready 1, sample15:8  68, state 1, idle 1, addr 310, en 0, wr_sample  60, index 0
ready 1, sample15:8  68, state 1, idle 1, addr 311, en 0, wr_sample  60, index 0
ready 0, sample15:8  68, state 1, idle 1, addr 311, en 0, wr_sample  60, index 0
ready 0, sample15:8  68, state 1, idle 1, addr 311, en 1, wr_sample  60, index 0
ready 0, sample15:8  68, state 1, idle 1, addr 311, en 0, wr_sample  60, index 0
ready 1, sample15:8  70, state 1, idle 1, addr 311, en 0, wr_sample  58, index 0
ready 1, sample15:8  70, state 1, idle 1, addr 312, en 0, wr_sample  58, index 0
ready 0, sample15:8  70, state 1, idle 1, addr 312, en 0, wr_sample  58, index 0
ready 0, sample15:8  70, state 1, idle 1, addr 312, en 1, wr_sample  58, index 0
ready 0, sample15:8  70, state 1, idle 1, addr 312, en 0, wr_sample  58, index 0
ready 1, sample15:8  71, state 1, idle 1, addr 312, en 0, wr_sample  57, index 0
ready 1, sample15:8  71, state 1, idle 1, addr 313, en 0, wr_sample  57, index 0
ready 0, sample15:8  71, state 1, idle 1, addr 313, en 0, wr_sample  57, index 0
ready 0, sample15:8  71, state 1, idle 1, addr 313, en 1, wr_sample  57, index 0
ready 0, sample15:8  71, state 1, idle 1, addr 313, en 0, wr_sample  57, index 0
ready 1, sample15:8  72, state 1, idle 1, addr 313, en 0, wr_sample  56, index 0
ready 1, sample15:8  72, state 1, idle 1, addr 314, en 0, wr_sample  56, index 0
ready 0, sample15:8  72, state 1, idle 1, addr 314, en 0, wr_sample  56, index 0
ready 0, sample15:8  72, state 1, idle 1, addr 314, en 1, wr_sample  56, index 0
ready 0, sample15:8  72, state 1, idle 1, addr 314, en 0, wr_sample  56, index 0
ready 1, sample15:8  73, state 1, idle 1, addr 314, en 0, wr_sample  55, index 0
ready 1, sample15:8  73, state 1, idle 1, addr 315, en 0, wr_sample  55, index 0
ready 0, sample15:8  73, state 1, idle 1, addr 315, en 0, wr_sample  55, index 0
ready 0, sample15:8  73, state 1, idle 1, addr 315, en 1, wr_sample  55, index 0
ready 0, sample15:8  73, state 1, idle 1, addr 315, en 0, wr_sample  55, index 0
ready 1, sample15:8  75, state 1, idle 1, addr 315, en 0, wr_sample  53, index 0
ready 1, sample15:8  75, state 1, idle 1, addr 316, en 0, wr_sample  53, index 0
ready 0, sample15:8  75, state 1, idle 1, addr 316, en 0, wr_sample  53, index 0
ready 0, sample15:8  75, state 1, idle 1, addr 316, en 1, wr_sample  53, index 0
ready 0, sample15:8  75, state 1, idle 1, addr 316, en 0, wr_sample  53, index 0
ready 1, sample15:8  76, state 1, idle 1, addr 316, en 0, wr_sample  52, index 0
ready 1, sample15:8  76, state 1, idle 1, addr 317, en 0, wr_sample  52, index 0
ready 0, sample15:8  76, state 1, idle 1, addr 317, en 0, wr_sample  52, index 0
ready 0, sample15:8  76, state 1, idle 1, addr 317, en 1, wr_sample  52, index 0
ready 0, sample15:8  76, state 1, idle 1, addr 317, en 0, wr_sample  52, index 0
ready 1, sample15:8  77, state 1, idle 1, addr 317, en 0, wr_sample  51, index 0
ready 1, sample15:8  77, state 1, idle 1, addr 318, en 0, wr_sample  51, index 0
ready 0, sample15:8  77, state 1, idle 1, addr 318, en 0, wr_sample  51, index 0
ready 0, sample15:8  77, state 1, idle 1, addr 318, en 1, wr_sample  51, index 0
ready 0, sample15:8  77, state 1, idle 1, addr 318, en 0, wr_sample  51, index 0
ready 1, sample15:8  78, state 1, idle 1, addr 318, en 0, wr_sample  50, index 0
ready 1, sample15:8  78, state 1, idle 1, addr 319, en 0, wr_sample  50, index 0
ready 0, sample15:8  78, state 1, idle 1, addr 319, en 0, wr_sample  50, index 0
ready 0, sample15:8  78, state 1, idle 1, addr 319, en 1, wr_sample  50, index 0
ready 0, sample15:8  78, state 1, idle 1, addr 319, en 0, wr_sample  50, index 0
