out: 0, 600, 1170, 1190, -7768, -15173, 1170, 1170
time   231, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   232, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   233, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   234, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   235, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   236, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   237, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   238, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   239, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   240, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   241, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   242, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   243, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   244, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   245, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   246, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   247, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   248, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   249, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   250, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   251, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   252, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   253, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   254, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   255, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   256, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   257, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   258, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   259, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   260, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
