ready 0, sample 30077, state 1, idle 1, addr 270, en 0, wr_sample  10, index 0
ready 1, sample 30077, state 1, idle 1, addr 270, en 0, wr_sample  10, index 0
ready 0, sample 30077, state 1, idle 1, addr 271, en 0, wr_sample  10, index 0
ready 0, sample 30077, state 1, idle 1, addr 271, en 1, wr_sample  10, index 0
ready 0, sample 30077, state 1, idle 1, addr 271, en 0, wr_sample  10, index 0
ready 0, sample 30985, state 1, idle 1, addr 271, en 0, wr_sample   6, index 0
ready 1, sample 30985, state 1, idle 1, addr 271, en 0, wr_sample   6, index 0
ready 0, sample 30985, state 1, idle 1, addr 272, en 0, wr_sample   6, index 0
ready 0, sample 30985, state 1, idle 1, addr 272, en 1, wr_sample   6, index 0
ready 0, sample 30985, state 1, idle 1, addr 272, en 0, wr_sample   6, index 0
ready 0, sample 31710, state 1, idle 1, addr 272, en 0, wr_sample   4, index 0
ready 1, sample 31710, state 1, idle 1, addr 272, en 0, wr_sample   4, index 0
ready 0, sample 31710, state 1, idle 1, addr 273, en 0, wr_sample   4, index 0
ready 0, sample 31710, state 1, idle 1, addr 273, en 1, wr_sample   4, index 0
ready 0, sample 31710, state 1, idle 1, addr 273, en 0, wr_sample   4, index 0
ready 0, sample 32250, state 1, idle 1, addr 273, en 0, wr_sample   2, index 0
ready 1, sample 32250, state 1, idle 1, addr 273, en 0, wr_sample   2, index 0
ready 0, sample 32250, state 1, idle 1, addr 274, en 0, wr_sample   2, index 0
ready 0, sample 32250, state 1, idle 1, addr 274, en 1, wr_sample   2, index 0
